Name,Full Address,Address,Cuisine,Description,Photo
5 Star Dim Sum ,"158 Mei Ling Street, #01-74, Singapore 140158",158 Mei Ling Street,Chinese,"The Hong Kong-style dim sum stall was started up by Chef Yiu Wah Tai, who has over 30 years of culinary experience making dim sum in established restaurants such as Jiang-Nan Chun at Four Seasons Hotel and Shang Palace Restaurant at Shangri-La Hotel. 

Everything on the menu is made by hand daily and you'll find a number of steamed and baked goods such as Fresh Prawn Ha Gow ($4.50 for four pieces), Char Siew Roasted Bun ($2.30 for one piece) chee cheong fun, noodles and porridge.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/5stardimsummeilingstreet-09-1536x1024_mcxni6.jpg"
My Chicken Castle,"269B Queen Street, 3838 Eating Place, Singapore 182269 ",269B Queen Street,Western,"I got my hands on the 3 PC Meal ($6.50) which has a chicken wing, breast, and thigh. The wing was crispy and moist, and evenly coated with a fragrant seasoning. I was surprised that the breast was juicy and tender, as it would usually be quite tough! The thigh had a good fat-to-meat ratio, succulent meat, and crunchy skin. You can opt for drumstick instead of thigh in this set.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/MyChickenCastle-01-1536x864_nbjxob.jpg"
Yuan Cheng Carrot Cake,"79 Telok Blangah Drive, Singapore 100079",79 Telok Blangah Drive,Chinese,"Run by Guek Eng, Yuan Cheng Carrot Cake has built a cult following over the years, with customers queuing right from the moment the stall opens to score a plate. Guek Eng had learnt how to fry carrot cake with chye poh (preserved radish) and garlic from her mother and has continued refining her recipe throughout the years.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/YuanChengFriedCarrotCake-1-1536x863_y4y3ha.jpg"
Nom Nom Monster,"750 Chai Chee Road, ESR Bizpark, Singapore 469000",750 Chai Chee Road,Western,"All the pasta at Nom Nom Monster is boiled in a collagen broth made with white wine, pork bones, salt, and spices. Each batch of broth is boiled for at least 40 minutes to extract all of the flavours from the ingredients. The noodles are then tossed in a special mix of chilli padi and garlic after they're taken out of the collagen broth. 

#western","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/nom-nom-monster-flatlay-_i10gyb.jpg"
Ramen King,"829 Tampines Street 81, Singapore 520829",829 Tampines Street 81,Japanese,"Located in a busy coffee shop in Tampines, Ramen King was opened in early November this year by a former chef from the famed ramen chain Hokkaido Ramen Santouka

The Spicy Miso Ramen came topped with slices of char siu that had been marinated in the chef's secret sauce, an oozy onsen egg, vegetables and a sprinkling of white sesame seeds. The springy egg noodles were made using two types of wheat, resulting in a pleasant QQ texture.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/51745044422_dba99684ea_o_ji1pkk.jpg"
Ipoh Tuck Kee Son,"27 Foch Road, Hoa Nam Building #01-02, Singapore 209264",27 Foch Road,Chinese,"Restoran Tuck Kee is considered one of the must-visits when you are in Ipoh, famous for its Cantonese style stir-fry noodles with power wok-hei.

Yu Kong Hor is called Moonlight Hor Fun due to the raw egg yolk that resembles a full moon against the night sky, and in this case on top of the dark wok-fried rice noodles.

I thought this was a very good plate of Hor Fun - smooth rice noodles (different from the usual which are thicker), flavours permeated through, with wok-hei though not as much as I would have expected.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/ipohtuckkee7_gqlyhx.jpg"
Dynasty Fried Porridge,"30 Foch Road, Singapore 209276",30 Foch Road,Chinese,"After it's fried in a pan, Dynasty Fried Porridge's Chef John transfers it to a claypot and lets it cook for a while longer to achieve that smoky wok hei effect.

I really loved how comforting the fried porridge was. It had just the right amount of saltiness from the soy sauce (which is what turned the porridge brown) and its time on the wok and claypot gave it a nice charred wok hei aroma.

It also had a good amount of spring onions, fried shallots and lard bits that helped cut through the thick starchiness from the porridge.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Dynasty-Fried-Porridge-1549_ouspj1.jpg"
Incredible Roasted Meat,"10 North Bridge Road, Singapore 190010",10 North Bridge Road,Chinese,"Unlike most other dishes where the lup cheong is only a supporting actor, it was a standout here. 

To begin with, it was firm yet tender. Its natural savoury notes perfectly complemented the decadent black sauce which coated the meat. I'd never had lup cheong like this and you can imagine how life-changing a moment it was for me.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/incredible-roasted-meat-lavender-29_nzhmjb.png"
Decker Barbecue,"60 Robertson Quay, #01-17, Singapore 238252",60 Robertson Quay,Western,"Premium meats, solid burning wood and top of the line hardware - head chef Summon put these all together to produce Decker's famous smoked meats. Summon has been smoking meats for over five years.

Decker's smoked beef brisket was mind blowing (again). The tender juicy beef was just oozing with beefy flavours. The fatty portion, in particular, was simply exploding with warm beefy juice and rich flavour.

The meat on the smoked pork rib was fall-off-the-bone tender, lubricated with juice from the fat. Natural pork sweetness complemented by savoury saltiness and slight smokey taste. ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/AVvXsEj4qqKhqIXchMIa-FGpDxsPD9-B1ksYQ6U0CpRZ-AaIKIWSisj_ePkThK5huJa8abdQCpF2Mxt9uVgpe_eWxsx72Z0Z37CodE7jE0ha51-pilXxns58Eaka6eH_3_B-o9_hIdgnddw-KplkqX83XNNw_uVAYn_2hBhglB-GtUj_o-ciCi80_MHXPhNIIQ_w640-h480_gmgndy.jpg"
Top 1 Home Made Noodle,"144 Upper Bukit Timah Rd, Singapore 588177",144 Upper Bukit Timah Rd,Chinese,"There's always a queue during lunch at Top 1 Home Made Noodle.

The pieces of kueh were relatively thick which I like (but can be thicker still). They were done half a notch stiffer than al dente. They were a little chewy.

The sauce was sweet savoury i.e. more sweet than savoury. The hot chili heat burned through to deliver a sweet, savoury, spicy hot taste which is well loved by Top 1's fans.

The soup was more balanced sweet savoury as the anchovies, pork balls, etc., contributed their savoury flavours to the soup. 

The broad ban mian were done soft al dente with just a soft spring to the bite.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/AVvXsEj4dYPtxk72uKLhTGJZ4CVAgQvdfo9ABVnfz1Pc9fZbGamSiqi-ntUA2MFc-RHPMpXkYc0GDXVrRXSgJ0EuYH6J4GqfUlAnizYzd25cs_eptkOSMiNmWNg8ms4es6-1Jt7hdELgPXFylst8U3aNcGlxCMkqhtKIuLqRBLsGdnByhx4SDGmTdqWMKEbjbQ_w640-h480_tduqtk.jpg"
Prawnaholic,"110 Pasir Ris Central, Singapore 519641",110 Pasir Ris Central,Chinese,"Let's take a sip of the prawn broth! Omg, this was super infused with an incredible amount of prawn flavor! It should be a key advantage but it was a tad overly rich and I was in fact glad that I didn't go with the soup option.

Meatball tasted great with a tender texture and bits of fats whereas the torched pork belly, with its lightly charred appearance and drenched with sweet sauce, was sinfully delicious, albeit overly fatty. Prawns were expectedly fresh although I would have preferred more prawns for, well, prawn noodles.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/AVvXsEjAWewqYOEhbBo1AE52LmJrOf9TjZej0FHNXaFgDI3rW5NISwDM9gkWUlfatu6mAWPADB-9ObVRPOj4APVPlyVgPvLZazeaT5RaxeeV3GinxboSniVdPq4EyJUbn-LE0ooJiT6RNFWuUkzs0DQdph4DSU_-qbj4-LF7CPVqlu_dVyi1WsvYqQ_w640-h416_fug7s4.jpg"
2280 Burger,"213 Henderson Rd, #01-10, Henderson Industrial Park, Singapore 159553",213 Henderson Rd,Western,"The beef patty itself is made from grass-fed Aberdeen Angus neck which already has a strong beefy flavour.  They don't add extra fat so it isn't as juicy as some of the other burgers, but it has a lovely crust and a meaty texture. 

If you are just after a well-crafted burger with a good, solid beef patty at a reasonable price, then this is definitely the place for you!","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Double-Cheeseburger-2_mzzidt.jpg"
Original Ah Hoe Mee Pok,"501 West Coast Drive, Food Loft Coffee Shop, Singapore 120501 (beside Ayer Rajah Food Centre)",501 West Coast Drive,Chinese,"Original Ah Hoe's mee pok is a little different from other bak chor mee and definitely a cut above most. It is well liked as its loyal following attests. Come and try it for yourself.

I am actually a little ambivalent as I like my mee pok soup more umami savoury.  Ah Hoe's fans are crazy in love with his sweet soup.

I love the noodles and sauce though, even if it is also somewhat unconventional.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/AVvXsEhMSuQGmIZPXuxTGyc00EpNXw9BJuZZpe2b8A2iNN77kdJGrrM9B3yk5TBRVmZh3fZnitgmAk56C2kQODYPKAV-uqVke1SH5HqE8l9__uctPxck3G76lvT6JzW1hmVZQVq5Pb54_V4sy4TlhBk5W6pCpitf1VgepglwzfB0pCCe6OL0H3mbPZkECv0KLw_w640-h480_oidcx4.jpg"
Eastern House of Seafood,"37 Jalan Pemimpin, MAPEX building, #B1-02, Singapore 577177",37 Jalan Pemimpin,Chinese,"Tea smoked chicken doesn't taste like poached, fried, roast, soya sauce or salt baked chicken. The flesh is soft-tender, juicy like the best poached chicken and skin is slippery smooth.

Half a bird like this costs $18 and a whole bird $36 at Eastern House of Seafood. This is a reasonable price considering that tea smoked chicken is time consuming and relatively tedious to make, so it is harder to produce in scale. 

It is cooked by steaming, then smoked in a covered wok with stir fried tea leaves and rock salt. Its amazing taste makes it totally worth it (despite costing more than other types of chicken).","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/AVvXsEiQa0jsBwwQQocULuYbvYV6rc7JgsqOR38mwopJy3GOkK7vWT885O1moPu1NcdRkECSR9oMvUo1n2a9PjQT0SZXHaWJVKzSGDIWnXcwCG1AphZxemh6-qJbB2KY6c4R6kWypsOAE1jU0d3yLBfl-yOH9ZaXNS9eKdak8xOPCuiZHQnegJSSda-sXIOfjg_w640-h480_u88j89.jpg"
Seng Huat Prawn Noodles,"79 Telok Blangah Dr, Singapore 100079",79 Telok Blangah Dr,Chinese,"It's old school, generously portioned, tasty, and excellent value.

There's a lot in the bowl for $3.50. The mound of yellow noodles came with sauce, shelled & deveined prawn, pork slices, fish cakes slices, and sprinkles of scallion and fried shallot. There are lard croutons, here and there in the bowl.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/AVvXsEgYuToqj88aByUj3fcwJ64M1Wa43Ffn8we9BR9aurG07lS7XrOl-IkX_RCAA536iEJ2SOW5Ini_eiNzI9Mj-24wiclOuJ6p76lMCe7H6VQEvwsWdYPbwbhGDYk1yNTbFvyPGzQ7GbNxOAcNKfWuCyfFlzXaXYU9u6Bktpurp0qtZWJCiTLLzLDmHAIvcA_w640-h480_bqdezm.jpg"
Guang Fa Laksa,"22B Havelock Rd, Singapore 161022",22B Havelock Rd,Chinese,"Guang Fa Laksa is quite the underrated gem that serves their laksa with cockles, delivering quite the flavour bomb that is sure to satisfy! 

Thick and rich, the laksa broth was deliciously savoury and fragrant from the addition of coconut milk and hae bee hiam (spicy dried shrimp sambal).","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/guangfalaksa-10_fokshx.jpg"
Craft Pizza,"35A Boat Quay, Singapore 049824",35A Boat Quay,Western,"The crust is amazing. Fermented for 48 hours, the dough is made from a blend of four types of flour including fine imported Tipo 00 Italian and locally hand-milled stone-ground flours. As a result, the outside is crispy but the inside is airy and fluffy.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/carne-rossa-e1615899829750_fydabk.jpg"
Boon Kee Wanton Noodle,"448 Clementi Ave 3, Singapore 120448",448 Clementi Ave 3,Chinese,Boon Kee is one of the people's favourites at Clementi 448 Market & Food Centre. I think the key here is their old school sauce with ketchup.,"https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/AVvXsEjsXpJWn2qEDGlvTKNsD5F88TcRLoZILH0CLp4BzEzn5ozDgAIjD2wrcvCaKIOqPurTW1ojrrXcqnNylYrxo8MKCOSlu6wihXIniXdv0FE8dnzoO35RJjE24OjKCBsR9Os3XkqRAke-amgN_2TQHO6c3w_rY2ALHSGoUw8llNNHre31lUZgoeMlDr4BaA_w640-h480_jdelv3.jpg"
The Summerhouse,"3 Park Lane, Seletar Aerospace Park",3 Park Lane,Western,"We enjoyed our dinner at The Summerhouse. It was a delightful experience. The location was unique and the ambience was nice. The staff were welcoming and friendly and the food was good.

Whether you are just dining with the family, having a casual date night, hoping to plan for a wedding or celebrating a wedding anniversary, The Summerhouse can be a charming venue for a delightful dinner.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/The-Summerhouse-2_cnqriw.jpg"
Teochew Meat Puff,"71 Woodlands Industrial Park E9, Singapore 757048",71 Woodlands Industrial Park E9,Chinese,"These UFO-shaped meat puffs are a spin on the traditional Teochew oyster cakes, filled with more marinated meat than any old school oyster cake in Singapore. The art of making these traditional delicacies is a dying trade, with only a handful of oyster cake stalls around. 

Teochew Meat Puff has six puffs on their menu: Oyster ($3.50), Prawn ($3.50), Octopus ($3.50), Crab ($3.50), Scallop ($4) or Vegetable ($2). All of these, except Vegetable ($2) come with their signature filling of marinated minced pork, deep-fried to golden brown discs.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Teochew-Meat-Puff-1_o7hulw.jpg"
618 Sim Carrot Cake,"618 Yishun Ring Rd, Singapore 760618",618 Yishun Ring Rd,Chinese,"Fried to crispy perfection with beaten egg and chye poh, the White Carrot Cake is then topped generously with chives and even more chye poh (preserved radish) on the side. They use a secret seasoning of their own concoction, which really brings the carrot cake up to mouthwatering levels of tastiness.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/618-Sim-Carrot-Cake-Yishun-7_qxolfg.jpg"
Seoul Kitchen,"435 Sembawang Road, Singapore 758398 ",435 Sembawang Road,Korean,"Seoul Kitchen is one of the gems of the north, with fried chicken in multiple deep, tantalising flavours. 

Enjoy the Crunch Fried Chicken (S$19.90) for the ultimate Korean-style crispy fried chicken. You'd be spoilt for choice by their multitude of flavours too, such as Korean Sweet Soy Chicken and Fried Chicken With Korean Spicy Sauce.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/seoulkitchen-online-2_yuhpuq.jpg"
Bei Sheng Taste of Thailand,"701A Yishun Ave 5, #01-01, Singapore 761701",701A Yishun Ave 5,Chinese,"Bei Sheng Taste of Thailand is a zi char (cook and fry) place that sells Thai-Chinese cuisine. They're often packed with customers and long queues.

Some of the most popular dishes here are the Thai Deep Fried Fish Delight ($18 for small) and Pineapple Fried Rice ($4 for small). The fish, though fried till crispy on the outside, retains its tenderness and moisture on the inside.

Loved for their consistent quality and affordability, it's no wonder that people flock here on the daily. ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/beisheng-online-2_w3ycpt.jpg"
Holy Cow Creamery,"292 Yishun Street 22, #01-291, Singapore 760292 ",292 Yishun Street 22,Café,"Holy Cow Creamery offers a wide range of ice cream and sorbet flavours. Of course, ice cream isn't complete without a carb, which in this case, is their Charcoal Waffles (S$6).

The best thing about these waffles is that they remain fluffy on the inside even as the edges crisp up. That's one of the hallmarks of a good waffle. Pair that with some of their premium ice cream flavours, such as the Rocher and Chocolate (S$4 for single scoop, S$7.50 for double scoop). I love the camaraderie of sharing ice cream on waffles with a friend. ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/holycow-creamery-online-1_a3otyl.jpg"
Beaulieu House,"117 Beaulieu Rd, Singapore 759837",117 Beaulieu Rd,Fusion,"Located in Sembawang Park, Beaulieu House is a restaurant managed by Sembawang Seafood Paradise Pte Ltd and serves both Chinese and Western dishes. 

We ordered a mix of Western and Chinese dishes just to have a good sense of the quality of dishes and must say that it was pretty satisfying. We enjoyed the Pork Collar White Bee Hoon dish and the Crabmeat Bisque was also rich in taste and boasted freshness of ingredients in this creamy concoction that comes with a piece of garlic bread. The desserts such as Yam Paste with Coconut Milk and the Mango Pudding are must-haves as well!","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/image_kszife.jpg"
White Restaurant,"22 Jalan Tampang, Singapore 758966 ",22 Jalan Tampang,Chinese,"Though they have sprouted across the island, there's always a sense of nostalgia dining at the OG outlet, where they first started. 

A small plate of Original White Beehoon is yours at S$6, with a flavourful wok hei depth and smooth, slightly starchy gravy. Though it may be less endowed in colour, the aromas and textures make up for it.

Supplement your meal with a side of crispy and juicy Hei Zhor (meat and seafood roll) at S$13.80 (small). ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Guide-Yishun-Sembawang-15_rdrmrp.jpg"
Sembawang Traditional Claypot Rice,"4 Jalan Tampang, Singapore 758948",4 Jalan Tampang,Chinese,"Sembawang Traditional Claypot Rice is well-known for its authenticity”every pot of claypot rice is cooked fresh upon order. It's sooo fresh that the stall even cooks the rice from scratch inside each claypot!

This cosy little zi char eatery also sells a selection of other standard zi char items. However, among those are a couple of stand-out dishes, like its KL-style San Lao Bee Hoon, Curry Fish Head, as well as Garlic Fried Chicken (S$12.80).","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Sembawang-Traditional-Claypot-Rice-0649_nuofjz.jpg"
East Bistro,"10 Jalan Tampang, Singapore 758954",10 Jalan Tampang,Chinese,"East Bistro is a hidden gem selling Hong Kong cuisine with a wide choice of dim sum and zi char. 

You can't say you've tried East Bistro without having had their unique Chef Special Pao Fan ($6.80/$13.60). For a small order, we got a generous bowl that was enough to make a full meal for two and more.

A waitress tipped in a side of crispy rice into chicken broth with chopped greens, chicken, and plain rice, generously garnished with sesame seeds. The grains instantly crackled when they touched the soup in an Instagrammable moment. I salivated as the aroma of the crispy rice wafted up in a mix with the mellow fragrance of the chicken broth.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/East-Bistro-flatlay_glpzgh.jpg"
Coba Coba,"156 Yishun Street 11,  #01-106, Singapore 760156",156 Yishun Street 11,Malay,"Affordable Nasi Ambeng & Other Malay-Indo Dishes At This Retro Heartland Cafe In Yishun.

We decided to go for the Deluxe Nasi Ambeng (S$32.90 for 2 pax, S$43.90 for 3 pax), which came with  14 different ingredients on a giant platter. All the dishes were amazing and the portions were really generous.

The first is the Sambal Goreng, one of my staples whenever I have nasi padang. This is basically fried tofu, tempeh and long beans cooked in a spicy coconut sauce ” a simple yet well-executed, delicious dish. I liked the different textures, and the tempeh was well-prepared with a clean nuttiness.

My second favourite is the Beef Rendang, which was extremely flavourful from the use of rich spices. The meat was tender and easy to chew with no gameyness.

The third would be the Bergedil, a fragrant deep-fried potato patty, with chunks in it. Dip this in their homemade sambal, which packed a nice punch, for a more intense flavour.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/coba-coba-5_b4fgel.jpg"
Kim Keat Hokkien Mee,"92 Toa Payoh Lorong 4, #01-264, Singapore 310092",92 Toa Payoh Lorong 4,Chinese,"Instead of the usual deep-fried lard, Kim Keat's Claypot Hokkien Mee features a generous helping of deep-fried pork belly. Despite going through the fryer, each piece of pork belly still managed to retain three distinct layers - tender meat, juicy fats, and crispy crackling skin. ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Kim-Keat-Flat-lay_xz5w32.jpg"
Chindamani Indian Restaurant,"151 Serangoon North Avenue 2, Singapore 550151",151 Serangoon North Avenue 2,Indian,"After trying the different variations of prata, we understood why customers queuing in front of us only ordered the kosong prata. It is the best among all.

The prata dough had been kneaded well before it was cooked to a beautiful golden brown. It is thinner than the usual prata you get elsewhere, and very crispy indeed.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/chindamani-indian-restaurant--e1496809795323_kwdnmb.jpg"
Nan Xiang Chicken Rice ,"271 Tanjong Katong Road,  Singapore 437054 ",271 Tanjong Katong Road,Chinese,"I first noticed the proportionately sliced char siew meat with an almost 50-50 lean meat and fat ratio. It is a very tender texture, and the meat is so soft and delicious. 

The sio bak is equally good. Lovely crispy skin and it has fattier cuts of meat than lean meat. 

I had the steamed chicken last, and it didn't disappoint as well. You get a soft tender chicken meat here, along with the fragrant rice which is not too greasy.

It is rare for a stall to get all their meats right - steamed chicken, sio bak and char siew. This stall is worth a journey if you love chicken rice and roast meats.  ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/eimg_5509_wy2jos.jpg"
Western Barbeque,"51 Old Airport Road, Singapore 390051",51 Old Airport Road,Western,"Western Barbeque is famous for its old-school Western-style dishes.

They are most famous for their garlic sauce, and note that only four plates come with it - the Mixed Grill, Pork Chop, Lamb Chop and Sirloin Steak.

The sauce is created using more than 10 ingredients and the recipe has remain unchanged for more than 2 decades.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/westernbbq7_c0qtzi.jpg"
58 Minced Meat Mee,"58 New Upper Changi Rd, Singapore 461058",58 New Upper Changi Rd,Chinese,"As it is with any good Bedok-style bak chor mee stall, the main highlight is the gently-cooked minced pork in every bowl and it comes wonderfully soft and fatty.

The other highlight are the bak giao which comes filled with a generous amount of fatty pork, seasoned with alot of tee po (dried sole fish) in every one.

The dumplings are available in the $3 and $4 portions (five or six dumplings in the $4 portion) but not in the $2.50 option ” the smallest portion only comes with minced pork, noodles and soup. ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/IMG_7101-1392x1044_zfht0v.jpg"
Rad Dish,"505 West Coast Dr, #01-208, Singapore 120505",505 West Coast Dr,Chinese,"The radish cubes were slightly firm and starchy, with a satisfying wok hei that had woven itself into each bite. Although I'm not a fan of the white version usually, I actually quite fancied theirs. Make sure to add on some crisp ($0.50) which is fried flour that's inspired by what's served at fast-food chain Long John Silver's.
","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Rad-Dish-01-2048x1151_b0ni1x.jpg"
Nyonya Taste,"6 Jalan Pari Burong, Singapore 488672",6 Jalan Pari Burong,Peranakan,"Nyonya Taste serves delicious Nyonya food-favourite was ikan bakar with restaurant made sambal chili, dried prawn brinjal, sambal okra, otah, ayam buah keluak, beef rendang, ngoh hiang & braised babi chin with blue fragrant rice. Drinks were good-refreshing apple plum, bubble tea & lemongrass. Cosy place with delicious food & drinks.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/239653394_10159709384947728_3262053766587947197_n.jpg_qiahic.jpg"
